,ORG Name,ORG Link,Size,Sector,Country,Region,Report
243,Egbin Power Plc,https://database.globalreporting.org/organizations/14236/,Large,Energy Utilities,ng,Africa,['2015 - GRI - G4 GRI - G4: https://database.globalreporting.org/reports/46560/']
244,Egyptian Drilling Company (EDC),https://database.globalreporting.org/organizations/22547/,Large,Energy,eg,Africa,['2020 - GRI - Standards GRI - Standards: https://database.globalreporting.org/reports/78158/']
245,Egypt Kuwait Holding,https://database.globalreporting.org/organizations/5411/,Large,Conglomerates,eg,Africa,['2010 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/13478/']
246,ELB Group,https://database.globalreporting.org/organizations/4766/,MNE,Commercial Services,za,Africa,"['2018 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/60851/', '2017 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/57919/', '2016 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/46777/', '2015 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/34607/', '2014 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/22814/', '2013 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/17483/', '2012 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/17484/', '2011 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/11973/']"
247,Ellies Holdings Limited,https://database.globalreporting.org/organizations/6485/,Large,Other,za,Africa,"['2019 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/75255/', '2018 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/61133/', '2017 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/59379/', '2016 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/57920/', '2015 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/33468/', '2014 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/23527/', '2013 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/17480/', '2012 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/17481/', '2011 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/17482/']"
248,eMedia Holdings,https://database.globalreporting.org/organizations/4674/,Large,Financial Services,za,Africa,"['2018 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/60501/', '2017 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/61545/', '2016 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/61549/', '2015 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/34769/', '2014 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/22593/', '2013 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/18354/', '2012 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/18355/', '2011 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/11873/']"
249,Emira Property Fund,https://database.globalreporting.org/organizations/4765/,Large,Real Estate,za,Africa,"['2019 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/74106/', '2018 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/60939/', '2017 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/60883/', '2016 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/42667/', '2015 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/34608/', '2014 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/22573/', '2013 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/17475/', '2012 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/17476/', '2011 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/11971/']"
250,Endeavour Mining,https://database.globalreporting.org/organizations/18996/,,Mining,ci,Africa,[]
251,Engen,https://database.globalreporting.org/organizations/676/,Large,Energy,za,Africa,"['2018 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/62708/', '2017 - GRI - G4 GRI - G4: https://database.globalreporting.org/reports/57911/', '2016 - GRI - G4 GRI - G4: https://database.globalreporting.org/reports/49986/', '2015 - GRI - G4 GRI - G4: https://database.globalreporting.org/reports/44723/', '2014 - GRI - G3.1 GRI - G3.1: https://database.globalreporting.org/reports/44724/', '2006 - GRI - G2 GRI - G2: https://database.globalreporting.org/reports/1314/']"
252,Engineering Solutions,https://database.globalreporting.org/organizations/22925/,SME,Automotive,ug,Africa,['2020 - GRI - Standards GRI - Standards: https://database.globalreporting.org/reports/79865/']
